epoch,time,train/s_box_loss,train/s_cls_loss,train/s_dfl_loss,train/t_box_loss,train/t_cls_loss,train/t_dfl_loss,train/cclkd_loss,train/cclkd_lld_loss,train/cclkd_fld_loss,train/cclkd_rld_loss,train/cclkd_ccl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/s_box_loss,val/s_cls_loss,val/s_dfl_loss,val/t_box_loss,val/t_cls_loss,val/t_dfl_loss,val/cclkd_loss,val/cclkd_lld_loss,val/cclkd_fld_loss,val/cclkd_rld_loss,val/cclkd_ccl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,144.382,2.80319,3.49065,1.58275,2.35738,3.20111,1.36782,3.29988,3.23698,0.0629,0,0,0.224972,0.170036,0.121657,0.0442769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,297.465,2.71308,2.34038,1.35076,2.20345,1.75517,1.14745,3.55703,3.46294,0.09409,0,0,0.543988,0.181797,0.131224,0.0475628,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207,0.0199562,0.00665207
3,451.017,2.83215,2.29808,1.39896,2.34479,1.73037,1.21739,3.64833,3.53196,0.11637,0,0,0.478073,0.121417,0.0770374,0.028106,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849,0.0299547,0.0099849
4,603.888,2.86601,2.25942,1.42884,2.39181,1.70618,1.2498,3.49988,3.37266,0.12722,0,0,0.575051,0.175845,0.140961,0.0504094,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863,0.0299959,0.00999863
5,752.895,2.76175,2.13021,1.39273,2.28985,1.54495,1.22899,3.16597,3.05846,0.10751,0,0,0.34099,0.209366,0.192952,0.0758334,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
6,900.294,2.6816,2.03309,1.35689,2.21402,1.45678,1.20147,2.91897,2.8278,0.09116,0,0,0.331857,0.232121,0.193755,0.0735287,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618,0.0299886,0.00999618
7,1047.95,2.64135,1.95248,1.3327,2.15996,1.39201,1.16972,2.68212,2.57101,0.11111,0,0,0.314188,0.261301,0.209973,0.083201,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
8,1195.69,2.59623,1.9126,1.31479,2.10203,1.33713,1.14838,2.60772,2.47593,0.13179,0,0,0.375595,0.26676,0.250648,0.10024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252,0.0299776,0.00999252
9,1341.82,2.56894,1.86801,1.30362,2.08273,1.29762,1.13809,2.54185,2.40097,0.14087,0,0,0.431305,0.274475,0.275416,0.117876,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
10,1487.82,2.53602,1.8243,1.29605,2.05553,1.27181,1.13057,2.4013,2.26466,0.13664,0,0,0.438672,0.277891,0.27661,0.119749,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764,0.0299629,0.00998764
11,1634.42,2.51408,1.78583,1.27133,2.02141,1.23296,1.1096,2.33873,2.18291,0.15582,0,0,0.404655,0.29368,0.280719,0.123282,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
12,1781.77,2.48763,1.76721,1.26789,1.99391,1.20295,1.10376,2.23959,2.07803,0.16156,0,0,0.423767,0.312161,0.309416,0.139158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154,0.0299446,0.00998154
13,1929.65,2.47124,1.73114,1.25322,1.98748,1.17947,1.09525,2.17472,2.00948,0.16524,0,0,0.46388,0.332623,0.329838,0.145225,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
14,2076.93,2.43587,1.69978,1.24155,1.96131,1.15735,1.08424,2.11884,1.93234,0.1865,0,0,0.400303,0.344832,0.323027,0.14284,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422,0.0299227,0.00997422
