epoch,mode,student_box_loss,student_obj_loss,student_cls_loss,teacher_box_loss,teacher_obj_loss,teacher_cls_loss,kd_total_loss,lld_loss,fld_loss,rld_loss,ccl_loss,kd_to_student_det_ratio,atkd_weight,ccl_weight,atkd_loss,weighted_atkd_loss,weighted_ccl_loss,kd_scale,weighted_kd_to_student_det_ratio,cop_valid_candidates,cop_positive_candidates,cop_positive_ratio,cop_class0_count,cop_class1_count,cop_class2_count,neg_candidates_mean,temperature_mean,temperature_min,temperature_max,feature_capture_ok,student_feature_levels,teacher_feature_levels,nan_or_inf_detected
0,paper_atkd_only,0.09916993230581284,0.007402564864605665,0.014209035784006119,0.09381616115570068,0.007672755513340235,0.01189703494310379,0.7073636054992676,0.0215630903840065,0.43660756945610046,0.24919246137142181,0.0,0.1916376093081919,1.0,0.0,0.7073628325218209,0.7073628325218209,0.0,0.0,0.0,799.8257080610022,610.2549019607843,0.7686542709702866,467.86056644880176,115.14814814814815,27.246187363834423,564.9321110877077,3.981267161358935,3.8359868152468812,4.155555914170342,1.0,3.0,3.0,0.0
1,paper_atkd_only,0.07706094533205032,0.00741112744435668,0.006245944648981094,0.06531217694282532,0.007136024069041014,0.004131846129894257,0.5100954174995422,0.016852300614118576,0.33533069491386414,0.1579127162694931,0.0,0.1751613772772496,1.0,0.0,0.510095113892441,0.510095113892441,0.0,0.33333333333333326,0.05838712747158049,792.8082788671024,756.3028322440088,0.954912630437895,509.4117647058824,174.37254901960785,72.51851851851852,524.2799710541768,3.2793645058841747,3.100912654062242,3.4759572284673554,1.0,3.0,3.0,0.0
2,paper_atkd_only,0.07666772603988647,0.007180467713624239,0.005828671157360077,0.0646066665649414,0.006861946079879999,0.003898141672834754,0.349406361579895,0.017454719170928,0.18520182371139526,0.1467500478029251,0.0,0.12270686827388984,1.0,0.0,0.34940641394497784,0.34940641394497784,0.0,0.6666666666666665,0.08180458121375062,800.3246187363834,762.5424836601308,0.9527958787443891,508.3834422657952,175.30936819172112,78.84967320261438,527.8939862552552,3.1792833618089262,3.034602398965873,3.3443475387714527,1.0,3.0,3.0,0.0
3,paper_atkd_only,0.07787299901247025,0.0072756316512823105,0.0064233699813485146,0.0677395835518837,0.007127424236387014,0.004358987789601088,0.3105415105819702,0.017954764887690544,0.13453428447246552,0.1580526977777481,0.0,0.10674051606869386,1.0,0.0,0.31054162238937577,0.31054162238937577,0.0,1.0,0.10674051606869386,799.4814814814815,751.4204793028323,0.9409169137315503,499.7538126361656,176.30718954248366,75.359477124183,534.1608713187424,3.173525301719283,3.0088410543720188,3.3681433242390617,1.0,3.0,3.0,0.0
4,paper_atkd_only,0.07582772523164749,0.0071919579058885574,0.005667137447744608,0.0643823966383934,0.0069296034052968025,0.003936868626624346,0.30807259678840637,0.017166083678603172,0.1442185342311859,0.14668810367584229,0.0,0.10906934308817444,1.0,0.0,0.3080725044596429,0.3080725044596429,0.0,1.0,0.10906934308817444,804.4270152505446,761.2701525054466,0.9461600389595318,500.7647058823529,179.03485838779957,81.47058823529412,532.5424980878311,3.1001688374413385,2.961778963313383,3.2677625596912856,1.0,3.0,3.0,0.0
5,paper_atkd_only,0.07333086431026459,0.007086302153766155,0.004929067101329565,0.06117730587720871,0.0067800795659422874,0.0032706635538488626,0.24993374943733215,0.016589859500527382,0.1022733598947525,0.13107027113437653,0.0,0.09197156662060545,1.0,0.0,0.24993339710116128,0.24993339710116128,0.0,1.0,0.09197156662060545,801.1546840958606,763.281045751634,0.9536194630806601,500.47712418300654,177.10675381263616,85.69716775599129,533.0559337341707,3.0642450364846288,2.930709664857985,3.2279477431104073,1.0,3.0,3.0,0.0
6,paper_atkd_only,0.07270736247301102,0.007132480386644602,0.004581854213029146,0.060335420072078705,0.006743735633790493,0.0031186393462121487,0.24099163711071014,0.016363099217414856,0.09732786566019058,0.12730062007904053,0.0,0.08979883485662392,1.0,0.0,0.24099146440008368,0.24099146440008368,0.0,1.0,0.08979883485662392,806.718954248366,772.5141612200435,0.9579826282545797,506.8169934640523,182.40958605664488,83.2875816993464,531.5370508497317,3.0442724243488186,2.916732173080278,3.2014654939730445,1.0,3.0,3.0,0.0
7,paper_atkd_only,0.07181326299905777,0.0070136236026883125,0.004265947733074427,0.05892559885978699,0.0066275764256715775,0.0029812667053192854,0.2278008610010147,0.01622811146080494,0.09248426556587219,0.11908838897943497,0.0,0.08631993400050664,1.0,0.0,0.22780064832670757,0.22780064832670757,0.0,1.0,0.08631993400050664,803.5228758169935,770.9607843137255,0.9599365205402626,514.5381263616558,176.5599128540305,79.86274509803921,526.8467803489668,3.0109534336331105,2.8954225059168532,3.1542517474014513,1.0,3.0,3.0,0.0
8,paper_atkd_only,0.0708003118634224,0.006948551628738642,0.004092177841812372,0.05840092524886131,0.006539738737046719,0.0027427615132182837,0.21385860443115234,0.015960345044732094,0.08382828533649445,0.1140698567032814,0.0,0.0824791567809961,1.0,0.0,0.21385832040008637,0.21385832040008637,0.0,1.0,0.0824791567809961,801.6514161220043,771.7429193899782,0.9634743143206675,511.1263616557734,174.93028322440088,85.68627450980392,527.9844012624038,2.9952205474080604,2.8904509705395998,3.1333757111709364,1.0,3.0,3.0,0.0
9,paper_atkd_only,0.06957394629716873,0.006964555010199547,0.003897920250892639,0.05668406933546066,0.0064955600537359715,0.0026374466251581907,0.21416299045085907,0.015742167830467224,0.0785253718495369,0.119895339012146,0.0,0.08400920979792256,1.0,0.0,0.21416274618868733,0.21416274618868733,0.0,1.0,0.08400920979792256,801.6732026143791,772.0370370370371,0.9634628625791889,509.8235294117647,177.35294117647058,84.86056644880175,528.3587647814117,3.0038555639761464,2.8846362089019975,3.1540189552930444,1.0,3.0,3.0,0.0
10,paper_atkd_only,0.06946597248315811,0.006854544393718243,0.003743993118405342,0.05668248236179352,0.006334045901894569,0.002595882397145033,0.2097058743238449,0.015654966235160828,0.08176825940608978,0.1122826635837555,0.0,0.08292050446203071,1.0,0.0,0.2097058639027714,0.2097058639027714,0.0,1.0,0.08292050446203071,796.8605664488017,767.3267973856209,0.9634681608125392,508.359477124183,173.87799564270153,85.08932461873638,524.8827308538433,2.9798713036871685,2.878904518218861,3.1085698563029305,1.0,3.0,3.0,0.0
11,paper_atkd_only,0.06828951090574265,0.006836242042481899,0.003636773442849517,0.05538473650813103,0.00629763025790453,0.002305378206074238,0.19885270297527313,0.01521400548517704,0.07729504257440567,0.10634349286556244,0.0,0.07933982102959244,1.0,0.0,0.1988524090425641,0.1988524090425641,0.0,1.0,0.07933982102959244,795.7538126361655,771.4662309368192,0.9698230509715499,506.797385620915,179.10021786492374,85.56862745098039,524.9230359312236,2.967503811019698,2.861932590896008,3.0981630769949855,1.0,3.0,3.0,0.0
12,paper_atkd_only,0.06764587014913559,0.006845485419034958,0.00358872814103961,0.054592546075582504,0.00630012946203351,0.0023260454181581736,0.2133529782295227,0.015181860886514187,0.08960358053445816,0.10856766998767853,0.0,0.08567209385156892,1.0,0.0,0.213352980988997,0.213352980988997,0.0,1.0,0.08567209385156892,804.8387799564271,779.1176470588235,0.9683648695833316,509.8910675381264,179.838779956427,89.38779956427015,529.7178788195508,2.961117238520537,2.864126787206446,3.083571770092501,1.0,3.0,3.0,0.0
13,paper_atkd_only,0.06787130981683731,0.006748791318386793,0.0036364467814564705,0.05450034514069557,0.006171195302158594,0.0023837110493332148,0.18459559977054596,0.015158564783632755,0.06442898511886597,0.10500805079936981,0.0,0.0745027984912489,1.0,0.0,0.18459549142059936,0.18459549142059936,0.0,1.0,0.0745027984912489,787.8278867102397,762.2984749455337,0.9680421449861385,504.40305010893246,178.0479302832244,79.8474945533769,513.5232521339699,2.9753827570830036,2.8674659806918474,3.109630278252828,1.0,3.0,3.0,0.0
14,paper_atkd_only,0.06779477000236511,0.006893684156239033,0.003553715068846941,0.05455200746655464,0.006291294936090708,0.002345073502510786,0.18710845708847046,0.015157557092607021,0.06829746067523956,0.10365333408117294,0.0,0.07549530060754882,1.0,0.0,0.18710836933718789,0.18710836933718789,0.0,1.0,0.07549530060754882,815.4531590413943,788.8409586056645,0.9677330479251827,509.77995642701524,186.34640522875816,92.71459694989107,537.8442414726308,2.9581513659367116,2.8612224982974315,3.084599751532727,1.0,3.0,3.0,0.0
15,paper_atkd_only,0.06705358624458313,0.006800312083214521,0.0033229575492441654,0.053947653621435165,0.006203086115419865,0.002249453216791153,0.1803826242685318,0.014898853376507759,0.06472437083721161,0.10075932741165161,0.0,0.0736238002971886,1.0,0.0,0.18038246173549582,0.18038246173549582,0.0,1.0,0.0736238002971886,802.8932461873638,779.1873638344226,0.9706724309247156,509.6884531590414,179.87581699346404,89.62309368191721,526.1645016472844,2.9405760687161115,2.8514573246824977,3.0508255818310905,1.0,3.0,3.0,0.0
